144/181,79%
0,32
1,2
1,12
1,22
1,32
1,42
1,53
2,23
2,33
2,43
2,53
3,3
3,14
3,44
3,54
4,4
4,14
4,24
4,35
5,5
5,15
5,25
5,35
5,45
5,56
6,26
6,36
6,46
6,56
7,6
7,17
8,27
8,38
9,8
9,18
9,28
9,38
9,48
9,59
10,29
10,39
10,49
10,59
11,9
11,20
11,60
12,10
12,30
12,41
13,11
13,21
13,31
13,41
13,51
14,2
14,32
14,42
14,52
15,2
15,12
15,23
15,53
16,3
16,13
16,23
16,33
16,44
17,14
17,24
17,34
17,44
17,54
18,5
18,45
18,55
19,5
19,26
20,48
21,17
21,27
21,37
21,47
21,57
22,9
22,38
22,58
23,8
23,18
23,30
24,9
24,19
24,39
24,51
25,20
25,30
25,40
25,50
26,0
26,12
26,41
27,11
27,33
28,32
28,54
29,23
29,33
29,43
29,53
30,3
30,15
30,44
31,14
31,24
31,36
32,57
33,26
33,36
33,46
33,56
34,6
34,18
34,47
34,57
35,7
35,17
35,27
35,38
36,18
36,28
36,38
36,59
37,29
37,39
37,49
37,59
38,9
38,20
38,50
38,60
39,10
39,20
39,30
39,41
41,2
